day_pass_id,purchaser_id,date,pass_type,group_ages
1,1978,2023-04-11,Student,"18,21,14"
2,7399,2025-01-29,Single,"37,5,20,21,55,11"
3,765,2023-11-01,Family,39
4,6350,2024-05-16,Family,"19,37,46,19,49,5"
5,3797,2024-05-13,Single,17
6,5385,2023-12-26,Student,"20,49,32"
7,9894,2024-01-28,Student,"48,33,26,5,56,41"
8,4141,2023-04-13,Student,"28,32"
9,7321,2025-02-15,Student,"60,56,12,36,40"
10,1025,2023-11-29,Family,"14,30,39,28,59,34"
11,9807,2024-12-21,Student,"13,34"
12,7069,2024-07-26,Single,51
13,7242,2025-02-03,Single,37
14,4987,2023-04-22,Family,"33,54,50,13,34"
15,7797,2023-07-25,Student,"8,26,45,34"
16,1785,2024-01-05,Student,"27,21,58,58"
17,8496,2023-05-29,Student,"18,17,11,31"
18,4686,2023-12-07,Student,"21,35,24"
19,5083,2024-08-15,Family,7
20,7397,2025-01-25,Student,"27,58,30,52,7,37"
21,1656,2024-09-26,Student,59
22,6063,2024-05-07,Single,21
23,748,2023-06-25,Single,"21,9,60,28,26,14"
24,7355,2023-08-05,Single,"26,15"
25,8618,2024-12-19,Single,"58,49,8,14"
26,1128,2023-05-10,Student,"25,21"
27,1901,2023-09-07,Single,41
28,9115,2023-12-19,Student,53
29,3841,2023-10-16,Family,"21,51,26,20"
30,4442,2024-12-03,Student,"10,34,16,48,51"
31,8462,2024-08-19,Student,"45,19,20,56,43,23"
32,1300,2024-12-08,Family,"5,30"
33,9878,2024-05-18,Single,"10,23"
34,5401,2025-03-24,Family,"26,16,52,28,33"
35,2819,2024-04-28,Single,"17,60,50"
36,5526,2025-01-20,Student,"32,8,12"
37,2284,2023-05-11,Family,"40,30"
38,5045,2024-02-03,Student,"54,56,38,55,25,20"
39,967,2024-03-03,Single,"28,60"
40,3610,2025-03-09,Single,"17,56,10"
41,2761,2023-07-15,Single,7
42,3975,2024-06-14,Student,"59,20"
43,8888,2024-05-13,Single,"35,41,59"
44,1894,2023-09-11,Single,58
45,5009,2024-11-25,Single,"25,21"
46,9079,2025-01-06,Student,"44,11,40"
47,9532,2024-04-02,Student,"27,25,35,9,52"
48,5531,2023-07-02,Single,"52,59,28"
49,3202,2024-08-01,Student,"58,13,56"
50,2363,2024-09-20,Family,"51,48,54,26,6,46"
51,4211,2023-08-23,Student,"38,20"
52,3988,2023-04-15,Family,"5,52"
53,6188,2023-05-12,Student,"12,22,37,49"
54,8873,2023-11-11,Family,"37,19,39,11"
55,7499,2024-06-08,Family,"28,11,43,27"
56,4864,2024-09-01,Family,"55,32,5"
57,3816,2024-05-13,Single,"51,12"
58,4998,2024-02-22,Family,15
59,6199,2024-03-03,Single,"15,42,12,44,45"
60,9471,2024-06-30,Family,"21,56,43,45,48"
61,6346,2025-01-11,Family,"29,39,28,57"
62,6547,2023-04-15,Single,"25,59,10,26,35,25"
63,397,2024-08-18,Single,"22,29,26,19"
64,9509,2023-09-22,Family,"52,29,32"
65,3660,2024-12-15,Student,"45,60,12,40"
66,5662,2024-05-15,Student,48
67,4231,2023-10-04,Student,"50,55,27,49,52,52"
68,6431,2024-02-21,Single,"21,40,24"
69,4482,2024-04-23,Single,39
70,8799,2023-08-14,Family,"46,19,27,10,28,8"
71,5622,2024-07-08,Single,"10,49,22,25,37,56"
72,8368,2024-12-01,Single,"60,43"
73,8657,2024-04-02,Single,"30,23,16"
74,9972,2023-12-22,Single,"58,9,6"
75,2903,2023-09-19,Single,"23,59,27"
76,3086,2024-01-07,Family,"43,55,18,38"
77,3788,2024-10-25,Student,25
78,3971,2023-08-11,Single,"39,52,19"
79,1623,2023-08-22,Family,"45,6,34,32"
80,3497,2024-12-01,Single,"59,30,59,41"
81,9372,2024-06-01,Single,"52,11,32,19"
82,4394,2024-01-16,Student,"25,11,45,57"
83,6190,2024-05-10,Family,"30,30,31,51"
84,2928,2023-04-02,Family,"57,57,40,23,56,55"
85,3482,2023-09-23,Student,"59,48"
86,7782,2023-06-25,Single,"10,17"
87,4131,2024-05-17,Single,"38,12,38,46,57,29"
88,7544,2023-05-25,Family,55
89,6608,2023-09-23,Single,"9,29"
90,3932,2023-12-07,Family,"14,18"
91,8360,2023-11-03,Student,"28,38,55,48,24"
92,4257,2024-11-05,Single,"40,28,60,52"
93,4648,2024-06-16,Single,"43,48,9,44,7,49"
94,9447,2023-11-25,Family,"47,6,39,40,14"
95,974,2024-08-07,Student,"28,42,16,39,46"
96,4855,2024-01-05,Student,"24,26,18,21,21,48"
97,7024,2024-05-31,Single,"37,58,46,6,55,53"
98,7540,2024-11-15,Single,"19,21,39,38,53,52"
99,9186,2024-05-28,Family,"59,19,54,49"
100,2967,2023-12-06,Family,20
101,7068,2023-12-15,Student,"44,44"
102,1836,2025-02-03,Family,"9,59"
103,4904,2024-06-24,Single,"58,23,16"
104,4498,2023-09-05,Single,"5,36,24,21"
105,6804,2024-05-11,Student,"7,51,43,50"
106,2116,2023-11-29,Student,"23,57,49,21"
107,8820,2023-10-06,Single,"42,48,23,46"
108,2855,2024-06-15,Student,"49,47,8,56,57,47"
109,4910,2024-11-22,Student,12
110,9532,2024-12-08,Family,"27,14"
111,3891,2023-04-05,Student,"57,23,57"
112,9934,2025-01-13,Student,36
