sale_id,customer_id,member_id,date,item,price
1,1758,0,2024-07-22,Water Bottle,40.27
2,9927,0,2024-12-26,T-Shirt,47.49
3,2118,0,2024-06-01,T-Shirt,34.84
4,8594,0,2024-11-29,T-Shirt,39.69
5,8040,0,2024-08-19,T-Shirt,40.46
6,1086,0,2024-08-13,Water Bottle,45.74
7,1605,0,2024-09-21,Protein Bar,8.67
8,3981,0,2023-11-15,Celsius,19.18
9,4063,0,2024-07-24,Chalk Bag,18.19
10,5281,0,2023-10-15,Celsius,44.76
11,3644,0,2024-09-22,Protein Bar,45.69
12,2487,0,2025-01-15,Gatorade,24.66
13,7225,0,2024-01-30,Gatorade,10.84
14,7671,0,2023-06-09,Celsius,35.71
15,1479,0,2024-08-20,Shoes Rental,49.38
16,3338,0,2023-04-22,Protein Bar,18.05
17,6615,0,2023-05-31,Celsius,12.71
18,6213,0,2024-10-19,Chalk Bag,49.17
19,1230,0,2024-05-09,Chalk Bag,35.08
20,9119,0,2023-05-06,Celsius,7.79
21,9364,0,2023-12-29,Shoes Rental,11.28
22,5851,0,2024-01-06,Water Bottle,11.03
23,133,133,2025-01-29,Shoes Rental,8.48
24,4767,0,2024-06-20,Chalk Bag,38.74
25,280,280,2024-11-14,T-Shirt,36.5
26,7834,0,2024-10-15,Gatorade,39.96
27,4933,0,2023-06-13,Shoes Rental,15.31
28,4358,0,2024-08-20,Water Bottle,20.58
29,1167,0,2024-12-06,Shoes Rental,19.46
30,4340,0,2023-09-30,Chalk Bag,18.88
31,2639,0,2025-01-07,Chalk Bag,16.77
32,8613,0,2023-08-10,Protein Bar,25.68
33,4522,0,2024-08-30,Chalk Bag,12.15
34,4557,0,2024-04-08,Protein Bar,9.02
35,1971,0,2023-08-22,T-Shirt,40.74
36,4697,0,2024-11-03,Shoes Rental,22.1
37,2811,0,2024-02-08,Protein Bar,47.05
38,1879,0,2024-04-12,Gatorade,36.31
39,2902,0,2023-09-10,Celsius,35.57
40,590,590,2024-07-27,Celsius,30.47
41,4598,0,2025-03-01,Chalk Bag,27.81
